id_accs,id_prop
0012A00002AXHJUQA5,a0I2A00000XQK0gUAH
0012A00002AXHJUQA5,a0I2A00000XQK7kUAH
0012A00002AXHJUQA5,a0I2A00000XQHE6UAP
0012A00002AXHJUQA5,a0I2A00000XvA3uUAF
0012A00002AXHJUQA5,a0I2A00000XQJeCUAX
0012A00002AXHJUQA5,a0I2A00000XuJjPUAV
0012A00002AXHJUQA5,a0I2A00000XQHQLUA5
0012A00002AXHJUQA5,a0I2A00000XQKB3UAP
0012A00002AXHJUQA5,a0I2A00000XQHCbUAP
0012A00002AXHJUQA5,a0I2A00000Xu9vfUAB
0012A00002AXHJUQA5,a0I2A00000XuafwUAB
0012A00002AXHJUQA5,a0I2A00000Xu9c9UAB
0012A00002AXHJUQA5,a0I2A00000XQiBgUAL
0012A00002AXHJUQA5,a0I2A00000XQIrKUAX
0012A00002AXHJUQA5,a0I2A00000XQHkvUAH
0012A00002AXHJUQA5,a0I2A00000XQJ2hUAH
0012A00002AXHJUQA5,a0I2A00000XQGsFUAX
0012A00002AXHJUQA5,a0I2A00000XQJaoUAH
0012A00002AXHJUQA5,a0I2A00000XuPYBUA3
0012A00002AXHJUQA5,a0I2A00000XQLpMUAX
0012A00002AXHJUQA5,a0I2A00000XQJIsUAP
0012A00002AXHJUQA5,a0I2A00000XQMJjUAP
0012A00002AXHJUQA5,a0I2A00000XQL9bUAH
0012A00002AXHJUQA5,a0I2A00000XQGn6UAH
0012A00002AXHJUQA5,a0I2A00000XQHnnUAH
0012A00002AXHJUQA5,a0I2A00000XQLlAUAX
0012A00002AXHJUQA5,a0I2A00000XQIujUAH
0012A00002AXHJUQA5,a0I2A00000XQOcXUAX
0012A00002AXHJUQA5,a0I2A00000XuUU7UAN
0012A00002AXHJUQA5,a0I2A00000XQHQXUA5
0012A00002AXHJUQA5,a0I2A00000XQU1zUAH
0012A00002AXHJUQA5,a0I2A00000Y6b1NUAR
0012A00002AXHJUQA5,a0I2A00000XQIhPUAX
0012A00002AXHJUQA5,a0I2A00000XQHxVUAX
0012A00002AXHJUQA5,a0I2A00000XuQ48UAF
0012A00002AXHJUQA5,a0I2A00000XwGUzUAN
0012A00002AXHJUQA5,a0I2A00000XuOGIUA3
0012A00002AXHJUQA5,a0I2A00000XQKcCUAX
0012A00002AXHJUQA5,a0I2A00000XQLjrUAH
0012A00002AXHJUQA5,a0I2A00000XQIP0UAP
0012A00002AXHJUQA5,a0I2A00000XQceXUAT
0012A00002AXHJUQA5,a0I2A00000XQJf9UAH
0012A00002AXHJUQA5,a0I2A00000XQYtyUAH
0012A00002AXHJUQA5,a0I2A00000XQPfuUAH
0012A00002AXHJUQA5,a0I2A00000XQHldUAH
0012A00002AXHJUQA5,a0I2A00000XQLM8UAP
0012A00002AXHJUQA5,a0I2A00000XQIrZUAX
0012A00002AXHJUQA5,a0I2A00000XwDbeUAF
0012A00002AXHJUQA5,a0I2A00000XQGaBUAX
0012A00002AXHJUQA5,a0I2A00000XQK4PUAX
0012A00002AXHJUQA5,a0I2A00000YIfXKUA1
0012A00002AXHJUQA5,a0I2A00000XQM3aUAH
0012A00002AXHJUQA5,a0I2A00000XQIcaUAH
0012A00002AXHJUQA5,a0I2A00000XQKXiUAP
0012A00002AXHJUQA5,a0I2A00000XQK5aUAH
0012A00002AXHJUQA5,a0I2A00000Y6DYVUA3
0012A00002AXHJUQA5,a0I2A00000YSYnKUAX
0012A00002AXHJUQA5,a0I2A00000XQL18UAH
0012A00002AXHJUQA5,a0I2A00000XQLJ9UAP
0012A00002AXHJUQA5,a0I2A00000XQXXKUA5
0012A000023XlWaQAK,a0I2A00000XQNFFUA5
0012A000023XlWaQAK,a0I2A00000XQHVbUAP
0012A000023XlWaQAK,a0I2A00000XQIqlUAH
0012A000023XlWaQAK,a0I2A00000XuAvbUAF
0012A000023XlWaQAK,a0I2A00000XQKsgUAH
0012A000023XlWaQAK,a0I2A00000XuNhuUAF
0012A000023XlWaQAK,a0I2A00000XuTUAUA3
0012A000023XlWaQAK,a0I2A00000XQa0qUAD
0012A000023XlWaQAK,a0I2A00000XQZQZUA5
0012A000023XlWaQAK,a0I2A00000XQJgIUAX
0012A000023XlWaQAK,a0I2A00000Y5vHjUAJ
0012A000023XlWaQAK,a0I2A00000XwGTeUAN
0012A000023XlWaQAK,a0I2A00000XuRM5UAN
0012A000023XlWaQAK,a0I2A00000XQUj9UAH
0012A000023XlWaQAK,a0I2A00000XQIlEUAX
0012A000023XlWaQAK,a0I2A00000XQHU3UAP
0012A000023XlWaQAK,a0I2A00000XwMfnUAF
0012A000023XlWaQAK,a0I2A00000XQIWYUA5
0012A000023XlWaQAK,a0I2A00000XQJ4IUAX
0012A000023XlWaQAK,a0I2A00000XQIWtUAP
0012A000023XlWaQAK,a0I2A00000XQHNhUAP
0012A000023XlWaQAK,a0I2A00000ZG5YRUA1
0012A000023XlWaQAK,a0I2A00000XQaYgUAL
0012A000023XlWaQAK,a0I2A00000XQlL7UAL
0012A000023XlWaQAK,a0I2A00000XwZqsUAF
0012A000023XlWaQAK,a0I2A00000XQJTJUA5
0012A000023XlWaQAK,a0I2A00000XQGNkUAP
0012A000023XlWaQAK,a0I2A00000XQHhbUAH
0012A000023XlWaQAK,a0I2A00000XwW2XUAV
0012A000023XlWaQAK,a0I2A00000XQJ3OUAX
